时间: 2024/12/1 01:32:57, test电机: 1500, yaw电机: 0
时间: 3/24/2025, 4:10:00 AM, test电机: 2000, yaw电机: 1000
时间: 3/24/2025, 4:10:08 AM, test电机: 2000, yaw电机: -1000
时间: 3/24/2025, 4:10:22 AM, test电机: 2000, yaw电机: 0
时间: 3/24/2025, 4:23:46 AM, test电机: 3000, yaw电机: 0
时间: 3/24/2025, 4:24:37 AM, test电机: 4000, yaw电机: 0
时间: 3/24/2025, 4:26:20 AM, test电机: 5000, yaw电机: 0
时间: 3/24/2025, 4:26:28 AM, test电机: 6000, yaw电机: 0
时间: 3/24/2025, 4:26:58 AM, test电机: 7000, yaw电机: 0
时间: 3/24/2025, 4:28:42 AM, test电机: 4000, yaw电机: 0
时间: 3/24/2025, 12:32:31 PM, test电机: 4000, yaw电机: 200
时间: 3/24/2025, 12:32:39 PM, test电机: 4000, yaw电机: 0
时间: 3/24/2025, 12:32:58 PM, test电机: 4000, yaw电机: 500
时间: 3/24/2025, 12:33:05 PM, test电机: 4000, yaw电机: 0
时间: 3/24/2025, 12:41:01 PM, test电机: 4000, yaw电机: 500
时间: 3/24/2025, 12:41:08 PM, test电机: 4000, yaw电机: 1000
时间: 3/24/2025, 12:41:17 PM, test电机: 4000, yaw电机: 1000
时间: 3/24/2025, 12:41:45 PM, test电机: 4000, yaw电机: 4000
时间: 3/24/2025, 11:41:13 PM, test电机: 4000, yaw电机: 2000
时间: 3/24/2025, 11:41:29 PM, test电机: 4000, yaw电机: 1000
时间: 3/24/2025, 11:41:44 PM, test电机: 4000, yaw电机: 500
时间: 3/24/2025, 11:41:53 PM, test电机: 4000, yaw电机: 500
时间: 3/24/2025, 11:42:28 PM, test电机: 4000, yaw电机: 1000
时间: 3/24/2025, 11:42:45 PM, test电机: 4000, yaw电机: 0
时间: 3/24/2025, 11:42:56 PM, test电机: 4000, yaw电机: 200
时间: 3/24/2025, 11:42:57 PM, test电机: 4000, yaw电机: 200
时间: 3/24/2025, 11:42:59 PM, test电机: 4000, yaw电机: 200
时间: 3/24/2025, 11:43:23 PM, test电机: 4000, yaw电机: 0
时间: 3/24/2025, 11:50:21 PM, test电机: 4000, yaw电机: 200
时间: 3/24/2025, 11:50:48 PM, test电机: 4000, yaw电机: 0
时间: 3/24/2025, 11:51:13 PM, test电机: 4000, yaw电机: 3000
时间: 3/24/2025, 11:51:30 PM, test电机: 4000, yaw电机: 6000
时间: 3/24/2025, 11:51:49 PM, test电机: 4000, yaw电机: 7000
时间: 3/24/2025, 11:52:02 PM, test电机: 4000, yaw电机: 6500
时间: 3/24/2025, 11:52:09 PM, test电机: 4000, yaw电机: 6700
时间: 3/25/2025, 6:05:49 PM, test电机: 4000, yaw电机: 3000
时间: 3/25/2025, 6:21:22 PM, test电机: 4000, yaw电机: 2000
时间: 3/25/2025, 6:21:35 PM, test电机: 4000, yaw电机: 1000
时间: 3/25/2025, 6:21:44 PM, test电机: 4000, yaw电机: 0
时间: 3/25/2025, 6:22:19 PM, test电机: 4000, yaw电机: 3000
时间: 3/25/2025, 6:22:36 PM, test电机: 4000, yaw电机: 3500
时间: 3/25/2025, 6:22:42 PM, test电机: 4000, yaw电机: 3900
时间: 3/25/2025, 6:22:50 PM, test电机: 4000, yaw电机: 4100
时间: 3/25/2025, 6:22:57 PM, test电机: 4000, yaw电机: 4300
时间: 3/25/2025, 6:23:05 PM, test电机: 4000, yaw电机: 4200
时间: 3/25/2025, 6:23:16 PM, test电机: 5000, yaw电机: 4200
时间: 3/25/2025, 6:23:45 PM, test电机: 6000, yaw电机: 4200
时间: 3/25/2025, 6:24:16 PM, test电机: 7000, yaw电机: 4200
时间: 3/25/2025, 6:24:53 PM, test电机: 10000, yaw电机: 4200
时间: 3/25/2025, 7:31:20 PM, test电机: 10000, yaw电机: 4000
时间: 3/25/2025, 7:31:33 PM, test电机: 11000, yaw电机: 4000
时间: 3/25/2025, 7:31:39 PM, test电机: 12000, yaw电机: 4000
时间: 3/25/2025, 7:40:07 PM, test电机: 12000, yaw电机: 3900
时间: 3/25/2025, 7:40:44 PM, test电机: 10000, yaw电机: 3900
时间: 3/25/2025, 7:41:18 PM, test电机: 10000, yaw电机: 3800
时间: 3/25/2025, 7:41:22 PM, test电机: 10000, yaw电机: 3700
时间: 3/25/2025, 7:41:33 PM, test电机: 11000, yaw电机: 3700
时间: 3/25/2025, 7:54:21 PM, test电机: 11000, yaw电机: 4400
时间: 3/25/2025, 7:54:31 PM, test电机: 11000, yaw电机: 4900
时间: 3/25/2025, 7:54:38 PM, test电机: 11000, yaw电机: 4700
时间: 3/25/2025, 7:54:44 PM, test电机: 11000, yaw电机: 4750
时间: 3/25/2025, 7:54:49 PM, test电机: 11000, yaw电机: 4650
时间: 3/25/2025, 7:55:28 PM, test电机: 10500, yaw电机: 4700
时间: 3/25/2025, 7:55:33 PM, test电机: 10500, yaw电机: 4600
时间: 3/25/2025, 7:56:11 PM, test电机: 11000, yaw电机: 4700
时间: 3/25/2025, 7:56:16 PM, test电机: 11000, yaw电机: 4500
时间: 3/25/2025, 7:56:52 PM, test电机: 11000, yaw电机: 4400
时间: 3/25/2025, 7:57:28 PM, test电机: 11000, yaw电机: 4300
时间: 3/25/2025, 7:58:36 PM, test电机: 10500, yaw电机: 4200
时间: 3/25/2025, 7:58:40 PM, test电机: 10500, yaw电机: 4100
时间: 3/25/2025, 7:59:38 PM, test电机: 10500, yaw电机: 4000
时间: 3/25/2025, 8:02:22 PM, test电机: 10500, yaw电机: 4200
时间: 3/25/2025, 8:02:29 PM, test电机: 10500, yaw电机: 4250
时间: 3/25/2025, 8:02:55 PM, test电机: 10500, yaw电机: 4150
时间: 3/25/2025, 8:03:23 PM, test电机: 10500, yaw电机: 4100
时间: 3/25/2025, 8:03:51 PM, test电机: 10500, yaw电机: 4000
时间: 3/25/2025, 10:28:10 PM, test电机: 10500, yaw电机: 3500
时间: 3/25/2025, 10:28:16 PM, test电机: 10500, yaw电机: 4500
时间: 3/25/2025, 10:28:29 PM, test电机: 10500, yaw电机: 5500
时间: 3/25/2025, 10:28:39 PM, test电机: 10500, yaw电机: 5400
时间: 3/25/2025, 10:29:14 PM, test电机: 10000, yaw电机: 5400
时间: 3/25/2025, 10:30:16 PM, test电机: 9800, yaw电机: 5500
时间: 3/25/2025, 10:30:20 PM, test电机: 9800, yaw电机: 5300
时间: 3/25/2025, 10:30:26 PM, test电机: 9800, yaw电机: 5350
时间: 3/25/2025, 10:30:31 PM, test电机: 9800, yaw电机: 5250
时间: 3/25/2025, 10:30:38 PM, test电机: 9800, yaw电机: 5280
时间: 3/25/2025, 10:31:06 PM, test电机: 9800, yaw电机: 5300
时间: 3/25/2025, 10:31:11 PM, test电机: 9800, yaw电机: 5100
时间: 3/25/2025, 10:31:37 PM, test电机: 9500, yaw电机: 5050
时间: 3/25/2025, 10:32:45 PM, test电机: 9500, yaw电机: 5200
时间: 3/25/2025, 10:32:53 PM, test电机: 9500, yaw电机: 4900
